time,0014.4F01.0000.3560,0014.4F01.0000.7811,0014.4F01.0000.35EC
2013-09-17 21:14:56.654,74,,
2013-09-17 21:14:57.237,,69,
2013-09-17 21:14:58.148,,,75
2013-09-17 21:14:59.656,74,,
2013-09-17 21:15:00.238,,69,
2013-09-17 21:15:01.149,,,75
2013-09-17 21:15:02.657,74,,
2013-09-17 21:15:03.239,,69,
2013-09-17 21:15:04.151,,,75
2013-09-17 21:15:05.658,75,,
2013-09-17 21:15:06.24,,69,
2013-09-17 21:15:07.152,,,75
2013-09-17 21:15:08.659,73,,
2013-09-17 21:15:09.241,,69,
2013-09-17 21:15:10.154,,,75
2013-09-17 21:15:11.66,74,,
2013-09-17 21:15:12.242,,69,
2013-09-17 21:15:13.155,,,75
2013-09-17 21:15:14.661,73,,
2013-09-17 21:15:15.243,,69,
2013-09-17 21:15:16.156,,,75
2013-09-17 21:15:17.663,74,,
2013-09-17 21:15:18.244,,69,
2013-09-17 21:15:19.157,,,75
2013-09-17 21:15:20.666,74,,
2013-09-17 21:15:21.245,,69,
2013-09-17 21:15:22.16,,,75
2013-09-17 21:15:23.667,74,,
2013-09-17 21:15:24.246,,69,
2013-09-17 21:15:25.161,,,75
2013-09-17 21:15:26.668,74,,
2013-09-17 21:15:27.247,,69,
2013-09-17 21:15:28.162,,,75
2013-09-17 21:15:29.669,73,,
2013-09-17 21:15:30.248,,69,
2013-09-17 21:15:31.164,,,75
2013-09-17 21:15:32.671,74,,
2013-09-17 21:15:33.249,,69,
2013-09-17 21:15:34.165,,,75
2013-09-17 21:15:35.672,74,,
2013-09-17 21:15:36.25,,69,
2013-09-17 21:15:37.166,,,75
2013-09-17 21:15:38.673,75,,
2013-09-17 21:15:39.251,,69,
2013-09-17 21:15:40.167,,,75
2013-09-17 21:15:41.676,74,,
2013-09-17 21:15:42.252,,69,
2013-09-17 21:15:43.168,,,75
2013-09-17 21:15:44.677,74,,
2013-09-17 21:15:45.253,,69,
2013-09-17 21:15:46.169,,,75
2013-09-17 21:15:47.678,73,,
2013-09-17 21:15:48.254,,69,
2013-09-17 21:15:49.17,,,75
2013-09-17 21:15:50.679,75,,
2013-09-17 21:15:51.255,,69,
2013-09-17 21:15:52.171,,,75
2013-09-17 21:15:53.68,75,,
2013-09-17 21:15:54.256,,69,
2013-09-17 21:15:55.172,,,75
2013-09-17 21:15:56.681,74,,
2013-09-17 21:15:57.257,,69,
2013-09-17 21:15:58.173,,,75
2013-09-17 21:15:59.682,74,,
2013-09-17 21:16:00.258,,69,
2013-09-17 21:16:01.175,,,75
2013-09-17 21:16:02.684,73,,
2013-09-17 21:16:03.259,,69,
2013-09-17 21:16:04.176,,,75
2013-09-17 21:16:05.685,75,,
2013-09-17 21:16:06.26,,69,
2013-09-17 21:16:07.177,,,75
2013-09-17 21:16:08.686,75,,
2013-09-17 21:16:09.261,,69,
2013-09-17 21:16:10.178,,,74
2013-09-17 21:16:11.687,75,,
2013-09-17 21:16:12.262,,69,
2013-09-17 21:16:13.179,,,74
2013-09-17 21:16:14.69,73,,
2013-09-17 21:16:15.263,,69,
2013-09-17 21:16:16.18,,,74
2013-09-17 21:16:17.691,74,,
2013-09-17 21:16:18.264,,69,
2013-09-17 21:16:19.181,,,74
2013-09-17 21:16:20.692,74,,
2013-09-17 21:16:21.265,,69,
2013-09-17 21:16:22.182,,,74
2013-09-17 21:16:23.693,74,,
2013-09-17 21:16:24.266,,69,
2013-09-17 21:16:25.183,,,74
2013-09-17 21:16:26.694,75,,
2013-09-17 21:16:27.267,,69,
2013-09-17 21:16:28.184,,,73
2013-09-17 21:16:29.695,73,,
2013-09-17 21:16:30.268,,69,
2013-09-17 21:16:31.185,,,74
2013-09-17 21:16:32.697,74,,
2013-09-17 21:16:33.269,,69,
2013-09-17 21:16:34.186,,,74
2013-09-17 21:16:35.7,74,,
2013-09-17 21:16:36.27,,69,
2013-09-17 21:16:37.187,,,73
2013-09-17 21:16:38.701,74,,
2013-09-17 21:16:39.271,,69,
2013-09-17 21:16:40.189,,,74
2013-09-17 21:16:41.702,74,,
2013-09-17 21:16:42.272,,69,
2013-09-17 21:16:43.19,,,73
2013-09-17 21:16:44.703,75,,
2013-09-17 21:16:45.273,,69,
2013-09-17 21:16:46.191,,,74
2013-09-17 21:16:47.706,74,,
2013-09-17 21:16:48.274,,69,
2013-09-17 21:16:49.192,,,74
2013-09-17 21:16:50.707,73,,
2013-09-17 21:16:51.275,,69,
2013-09-17 21:16:52.193,,,74
2013-09-17 21:16:53.709,74,,
2013-09-17 21:16:54.276,,69,
2013-09-17 21:16:55.194,,,73
2013-09-17 21:16:56.71,75,,
2013-09-17 21:16:57.277,,69,
2013-09-17 21:16:58.196,,,74
2013-09-17 21:16:59.713,74,,
2013-09-17 21:17:00.278,,69,
2013-09-17 21:17:01.197,,,74
2013-09-17 21:17:02.714,73,,
2013-09-17 21:17:03.279,,69,
2013-09-17 21:17:04.199,,,74
2013-09-17 21:17:05.716,74,,
2013-09-17 21:17:06.28,,69,
2013-09-17 21:17:07.2,,,74
2013-09-17 21:17:08.717,73,,
2013-09-17 21:17:09.281,,69,
2013-09-17 21:17:10.201,,,74
2013-09-17 21:17:11.72,73,,
2013-09-17 21:17:12.282,,69,
2013-09-17 21:17:13.202,,,74
2013-09-17 21:17:14.722,75,,
2013-09-17 21:17:15.283,,69,
2013-09-17 21:17:16.203,,,74
2013-09-17 21:17:17.723,74,,
2013-09-17 21:17:18.284,,69,
2013-09-17 21:17:19.204,,,74
2013-09-17 21:17:20.724,74,,
2013-09-17 21:17:21.285,,69,
2013-09-17 21:17:22.205,,,74
2013-09-17 21:17:23.726,73,,
2013-09-17 21:17:24.286,,69,
2013-09-17 21:17:25.207,,,74
2013-09-17 21:17:26.727,74,,
